age,gender,amount,fraud
3,1,19674,1
2,1,22161,1
2,1,19999,1
2,1,23432,1
1,1,23241,1
2,1,23678,1
2,1,5572,0
1,2,2140,0
2,1,19415,1
2,1,22326,1
4,1,1917,0
3,2,1520,0
4,2,1285,0
2,2,1953,0
1,1,19961,1
1,1,23363,1
2,1,3762,0
5,2,4220,0
4,1,21913,1
2,2,3538,0
3,1,14794,1
3,1,11902,1
5,1,22188,1
3,1,23248,1
1,1,1532,0
4,1,23654,1
4,2,23136,1
3,1,16092,1
2,2,23676,1
2,1,19196,1
1,2,4074,0
2,2,279,0
4,2,1697,0
3,1,3994,1
1,2,354,0
3,1,1444,0
2,2,23519,1
3,1,4644,0
2,2,21615,1
2,1,22219,1
5,2,1587,0
3,1,4068,0
2,1,17124,1
3,1,4004,0
1,1,22745,1
1,2,4763,1
2,2,54,0
2,2,13301,1
2,2,609,0
1,1,23120,1
2,1,2925,0
2,2,4341,0
2,2,19406,1
3,1,2925,0
2,1,7204,0
2,1,20757,1
5,1,2692,0
5,2,526,0
2,1,20682,1
2,1,591,0
2,1,1882,1
2,1,12684,1
2,1,11741,1
3,2,901,0
3,1,22448,1
2,2,1837,0
2,2,1360,0
3,1,18501,1
3,1,3819,1
6,1,6256,0
2,1,21275,1
6,1,6185,0
2,1,6770,1
2,1,1514,0
3,1,2857,0
2,1,17223,1
1,1,18153,1
1,1,6111,0
3,2,4058,0
3,1,2579,0
3,1,14752,1
4,1,22270,1
2,1,4075,0
2,1,12821,1
3,2,23732,1
4,2,7642,0
4,1,16324,1
1,2,21499,1
2,1,551,0
2,1,603,0
2,1,21959,1
2,1,10492,1
4,1,18550,0
3,2,1554,0
3,1,4398,1
4,1,18121,1
3,1,21555,1
2,1,2182,0
3,1,13711,1
1,1,21382,1
3,1,4063,0
1,1,9569,1
2,1,20085,1
2,2,20433,1
2,2,22522,1
1,3,85,0
2,1,153,0
2,1,787,1
2,1,4191,0
2,1,22950,1
2,1,4513,0
3,2,19485,1
4,2,1221,0
3,1,9292,1
2,1,9503,1
2,1,2407,0
4,2,971,0
2,2,2536,0
2,1,19324,1
2,1,18887,1
4,1,12397,0
3,1,21164,1
5,1,867,0
5,1,3790,0
2,1,19594,1
1,2,3158,0
4,2,1922,1
2,1,10503,1
1,1,20496,1
4,1,19175,1
2,1,4402,1
3,1,20299,1
4,1,22382,1
4,2,4679,0
2,1,1446,0
2,2,12802,1
4,2,1196,0
1,2,7852,1
1,1,19289,1
2,1,4531,1
5,2,4813,1
2,1,2404,0
3,2,1084,0
5,2,3167,0
4,1,21929,1
2,1,4430,0
1,1,20695,1
3,1,21148,1
2,2,218,0
2,2,17542,1
6,1,111,0
6,1,3607,0
2,1,3063,0
3,1,4627,0
2,1,22722,1
2,1,3083,0
3,1,975,0
1,1,2936,0
2,1,16880,1
3,2,129,0
1,1,9569,1
2,2,11528,0
4,2,5976,0
3,1,21565,1
5,1,611,0
3,1,22437,1
1,1,21424,1
6,1,1624,0
3,1,5719,1
1,1,4401,0
2,1,20199,1
2,2,759,0
2,2,4525,0
4,1,2908,0
2,1,817,0
1,2,22130,1
2,1,3624,0
4,1,16331,1
1,1,21391,1
2,1,2798,0
2,1,22117,1
4,2,5646,0
3,1,19367,1
3,2,3657,0
3,1,886,0
2,1,23747,1
4,1,19805,1
3,1,22269,1
3,2,3307,0
3,2,5740,0
3,1,3664,0
3,1,23477,1
0,1,98,0
2,1,6789,1
5,2,2424,0
2,1,8384,1
3,2,16,0
2,1,4243,1
4,1,21602,1
3,1,21353,1
2,1,21904,1
3,1,6174,1
2,1,6809,1
2,1,23529,1
2,1,21854,1
2,1,19894,1
2,1,1929,0
3,1,18807,1
1,1,23587,1
2,1,2618,0
4,2,7458,0
4,1,3506,0
4,1,20127,1
1,3,5014,0
3,2,2612,0
3,2,2085,0
5,2,4128,0
1,1,16963,1
2,1,10981,1
3,1,2421,1
2,1,105,0
2,1,21441,1
2,1,10606,1
4,2,2762,0
5,2,241,0
3,1,16905,1
5,1,1264,0
3,2,1826,0
1,1,23282,1
2,1,20541,1
2,1,752,0
2,1,757,0
2,2,3001,0
2,1,1735,1
5,1,4694,0
3,1,4366,0
2,1,1537,0
2,1,10150,1
4,2,1449,0
3,1,21624,1
4,1,2932,0
2,1,5218,0
4,2,22675,1
2,1,790,0
3,1,19608,1
2,1,21078,1
2,2,2000,1
1,2,5092,1
4,1,20171,1
2,1,12969,1
4,2,5204,0
3,1,1359,0
3,2,22753,1
3,1,5819,1
3,2,3678,0
2,1,18524,1
1,1,8247,0
3,1,12465,1
1,1,16055,1
3,1,16680,0
4,2,10383,1
3,1,21470,1
2,1,22892,1
4,2,2624,0
2,1,3001,1
2,1,21538,1
3,1,2512,0
2,1,8927,1
2,2,4974,0
5,1,130,0
4,1,23531,1
2,1,21254,1
3,2,2162,0
5,2,1174,0
2,2,1478,1
3,2,550,0
4,2,21500,1
2,1,749,1
2,1,3170,0
1,2,20717,1
2,1,3377,1
2,2,6045,0
1,1,21446,1
6,1,4806,0
2,1,1390,0
2,1,22869,1
2,1,21824,1
4,2,4508,0
2,1,6364,1
2,1,6721,1
2,1,21108,1
1,1,19609,1
5,1,928,0
4,1,22424,1
1,1,10850,1
4,1,13422,1
2,1,2918,0
3,1,20028,1
3,2,5722,0
3,1,9109,1
2,1,2457,0
2,1,14982,0
2,1,12490,0
1,2,1200,0
1,2,1553,0
2,2,4482,0
6,1,1533,0
4,2,1524,0
4,2,2886,0
3,2,14579,1
2,1,21860,1
3,2,20737,1
2,1,478,1
3,1,4321,0
6,1,2834,0
2,2,2741,0
3,1,21311,1
2,1,8191,1
2,1,759,0
3,2,1133,0
3,1,23306,1
3,1,11076,1
4,2,580,0
2,1,1109,1
5,1,11118,1
3,1,16274,1
2,2,21531,1
3,2,19331,1
3,2,2416,0
1,1,2808,1
5,2,3767,0
4,1,20985,1
4,1,6158,1
4,2,21102,1
2,1,23484,1
3,1,13848,1
4,2,3928,0
2,1,6322,1
3,1,3747,0
1,1,23302,1
